Happiness Score,GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Corruption,Numeric code,Latitude (average),Longitude (average),Population 2020,Med. Age,Average Temp,Average Rainfall,Sunlight,Depression rate,Anxiety rate,Covid Cases,Covid Deaths,Covid Death Rate,Covid Cases per Mil Pop
4.441857142857143,8.682571428571428,0.7034285714285714,62.68099999999999,0.7649999999999999,0.04271428571428572,0.7974285714285714,303.7142857142857,20.75,77.14285714285714,265600116.42857143,26.571428571428573,21.726607596153844,110.8668502518315,2666.85,3.871428571428571,3.6000000000000005,3608062.6666666665,41969.666666666664,1.801572319633938,2764.1666666666665
4.494472222222223,8.075194444444442,0.69675,55.88647222222224,0.7231944444444443,0.013444444444444436,0.7659444444444443,468.25,-1.8814805555555552,16.566666666666666,26653761.61764706,19.91176470588235,24.506396587428775,87.96051874910967,2808.5522989310343,4.088235294117648,2.905882352941176,83872.41176470589,2202.323529411765,2.1157816830847156,78.6470588235294
5.219764705882353,9.666117647058822,0.7976470588235296,65.60911764705882,0.7164705882352942,-0.07976470588235295,0.762235294117647,492.2352941176471,29.27475294117647,33.70831764705883,30763900.88235294,28.823529411764707,21.683410204326925,15.875941692708329,3169.3939394545455,4.485714285714286,4.328571428571428,768151.5882352941,12013.0,2.946021966330039,800.3529411764706
5.407555555555557,9.421444444444443,0.8203333333333332,64.88844444444445,0.9089999999999999,0.15633333333333332,0.709111111111111,470.44444444444446,10.651855555555557,108.03333333333333,74221472.0,31.0,25.744684366096873,186.2507975356126,2281.465,3.8625000000000003,3.3875000000000006,382077.44444444444,7598.111111111111,1.0337290806219663,227.66666666666666
5.467000000000001,9.401833333333336,0.8725,65.00949999999999,0.8169166666666667,-0.036000000000000004,0.7250833333333334,469.9166666666667,45.041666666666664,55.25,24562437.666666668,33.166666666666664,7.651666858974356,39.090331209935904,2204.8430555555556,4.720000000000001,3.31,741233.1666666666,15229.333333333334,1.4852163638938378,250.0
5.810333333333333,10.367666666666667,0.8605,71.25216666666667,0.7635000000000001,-0.06233333333333333,0.6833333333333332,326.0,33.291666666666664,118.44445,275433559.6666667,40.833333333333336,7.613869983974359,79.7974446073718,2244.92,4.2,3.1666666666666665,142820.0,2839.5,1.9116648770102913,219.33333333333334
5.908049999999999,9.370000000000001,0.8394999999999999,67.07605000000001,0.8317499999999999,-0.06769999999999998,0.7926,363.85,0.4291650000000001,-74.887505,31728896.4,29.2,22.380168620192308,144.94242139102565,2359.3954444,4.590000000000001,5.51,1495863.7368421052,48223.21052631579,2.837831079071278,1777.7368421052631
5.9847647058823545,10.109058823529413,0.887411764705882,68.33841176470588,0.7970588235294117,-0.07894117647058824,0.8505294117647058,423.3529411764706,43.55392352941176,20.441176470588236,7499238.625,41.1875,10.2215801979638,65.35417414215686,2093.794117647059,5.133333333333334,3.7066666666666657,618950.8,14791.466666666667,2.387772624755433,469.06666666666666
6.914904761904763,10.822714285714286,0.9144761904761907,73.03309523809521,0.8587142857142858,-0.0031904761904761967,0.5230952380952381,423.23809523809524,46.218247619047624,8.031742857142856,20395297.95238095,41.23809523809524,10.397480389194142,69.87067815170941,2141.62166665,5.005,5.12,1526495.111111111,34662.166666666664,1.7362999662185095,1081.888888888889
7.128500000000001,10.8095,0.9335,72.325,0.89875,0.12000000000000002,0.44925,388.5,7.5,28.75,99880040.25,38.75,8.41063880608974,69.48287556891026,2411.0875,5.475,6.375000000000001,8601371.75,153976.0,1.951052767336491,2741.5
